itching,nodal_skin_eruptions,shivering,ulcers_on_tongue,burning_micturition,spotting_ urination,mood_swings,weight_loss,patches_in_throat,irregular_sugar_level,sunken_eyes,breathlessness,sweating,dehydration,dark_urine,nausea,back_pain,mild_fever,yellow_urine,acute_liver_failure,fluid_overload,swelled_lymph_nodes,weakness_in_limbs,irritation_in_anus,puffy_face_and_eyes,extra_marital_contacts,drying_and_tingling_lips,hip_joint_pain,movement_stiffness,spinning_movements,foul_smell_of urine,internal_itching,muscle_pain,altered_sensorium,red_spots_over_body,belly_pain,dischromic _patches,watering_from_eyes,family_history,mucoid_sputum,rusty_sputum,lack_of_concentration,visual_disturbances,fluid_overload.1,prominent_veins_on_calf,blackheads,scurring,small_dents_in_nails,yellow_crust_ooze,prognosis,Formulation_1,Formualtion_2,Formualtion_3
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Fungal infection,Dashamula Kvatha Churna,Nimbadi churna,Karpuradi Taila
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Fungal infection,Dashamula Kvatha Churna,Nimbadi churna,Karpuradi Taila
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Fungal infection,Dashamula Kvatha Churna,Nimbadi churna,Karpuradi Taila
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Fungal infection,Dashamula Kvatha Churna,Nimbadi churna,Karpuradi Taila
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungal infection,Dashamula Kvatha Churna,Nimbadi churna,Karpuradi Taila
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Fungal infection,Dashamula Kvatha Churna,Nimbadi churna,Karpuradi Taila
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Fungal infection,Dashamula Kvatha Churna,Nimbadi churna,Karpuradi Taila
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Fungal infection,Dashamula Kvatha Churna,Nimbadi churna,Karpuradi Taila
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fungal infection,Dashamula Kvatha Churna,Nimbadi churna,Karpuradi Taila
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Fungal infection,Dashamula Kvatha Churna,Nimbadi churna,Karpuradi Taila
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Allergy,Trikatu Churna,Haridra (Turmeric) Capsules,Talishadya Churna
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Allergy,Trikatu Churna,Haridra (Turmeric) Capsules,Talishadya Churna
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Allergy,Trikatu Churna,Haridra (Turmeric) Capsules,Talishadya Churna
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Allergy,Trikatu Churna,Haridra (Turmeric) Capsules,Talishadya Churna
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Allergy,Trikatu Churna,Haridra (Turmeric) Capsules,Talishadya Churna
